artifact_id,source_phase,source_path,source_sha256,analysis_family,task,metric,statistical_unit,sample_size,test,correction,effect_size,bootstrap_iterations,paper_role,destination,included,exclusion_reason,frozen_status
STAT-011,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_seed_stability.csv,c93e5d2ce8c8eb58d9fb97d7d1c5021b7797bd9a274d55526f6e73625b3bf52d,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-012,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_shortcut_evidence_matrix.csv,8fb420a6ab0635d64827b6e4439526b16a922ceef4572b46982488d49e4231e6,shortcut_analysis,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/shortcut_analysis,True,,FROZEN_READ_ONLY_VERIFIED
STAT-013,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\reports\phase08_shortcut_and_generalization_report.md,27b40ea07734214e8e1ce31e9f4c4675718d937ee2175d06dca37ecb4ce73e66,shortcut_analysis,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/shortcut_analysis,True,,FROZEN_READ_ONLY_VERIFIED
STAT-014,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_bootstrap_confidence_intervals.csv,5271631b8cf83f9bf17dec31025dc4daa7618ef37be679b410280ae3349549e5,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
STAT-015,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_classification_metrics.csv,de74210f0af10cb41d7fa6af707248f0c26859cee4861cfe5d8bac5b5e8d2f14,loso_stability,dual_or_documented,Macro-F1,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/loso_stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-016,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_difficulty_level_errors.csv,cd1c7ec34ef1a3b2eae025603908c7a242287ab9e3385bfe1824462bbe748e24,loso_stability,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/loso_stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-017,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_regression_metrics.csv,de66aafe88e5ff0530f2604dd594be53fc572f3be630bc6707eea9dfd7bc075c,loso_stability,dual_or_documented,bounded MAE,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/loso_stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-018,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_seed_variability.csv,8be9415789a4a79ff321eda10bdfc7d429f0453e92e9798920ab8aaf2258b99d,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-019,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_subject_metrics.csv,a0eb97bb55f037fd7cc32050f00419c4f05e0686fd661a74b8bc41efec52a3c4,loso_stability,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/loso_stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-020,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_subject_stability.csv,488ff4a9f5fed9de10d33230887e777af60ab8eb58e0d6a2837503a56822fe59,stability,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-021,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_classification_metrics.csv,53ff2ad7da3d955e9702a277d28e76b1550d3532b1ad39ee51c4cce32102853f,modality_contribution,dual_or_documented,Macro-F1,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/modality_contribution,True,,FROZEN_READ_ONLY_VERIFIED
STAT-022,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_deltas.csv,0ec5aaae39c0813f404e0d23c31e2cc5e678e6645b29d4000ebedaea7ffb9d26,modality_contribution,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/modality_contribution,True,,FROZEN_READ_ONLY_VERIFIED
STAT-023,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_regression_metrics.csv,a553d22b0c890dbed9979b51adefe57fb4819a33fdc37c6ea6250a07fbb8e5ab,modality_contribution,dual_or_documented,bounded MAE,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/modality_contribution,True,,FROZEN_READ_ONLY_VERIFIED
STAT-024,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_robustness.csv,1b418d247dcb51b6d24e3f1f10f93169fdf62f1ffb193d023b4d236dbb89feff,modality_contribution,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/modality_contribution,True,,FROZEN_READ_ONLY_VERIFIED
STAT-025,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_pairwise_statistics.csv,2028bbaf3466eca225f09a0fb354046debb328db1b62f18955d3d013e5385d6c,pairwise_tests,dual_or_documented,multiple_registered_metrics,subject_id,35,Wilcoxon signed-rank,Holm,rank-biserial,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/pairwise_tests,True,,FROZEN_READ_ONLY_VERIFIED
STAT-026,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_seed_stability.csv,f1b7ed3485154057580228fbb2e32ae737cb44f0f4d44012c48b8b9c02fdf38d,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-027,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\reports\phase09_loso_stability_report.md,5432749445d2336a57152d2196218f505e2c9d90e26c6a5a253ea996f0afa412,stability,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-028,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\reports\phase09_missing_modality_report.md,79728ee3b101820679c2b14ad9d56cd2e17c3e0d7560ea61bdce638cca991165,modality_contribution,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/modality_contribution,True,,FROZEN_READ_ONLY_VERIFIED
STAT-029,04A,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,descriptive_model_metrics,classification,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-030,04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,descriptive_model_metrics,regression,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-031,05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_dual_output_final_comparison.csv,08c21f705d0ec1491d1e1d795489e0f4f5f8dc47c34e507f5e7d5e716cb5bf64,descriptive_model_metrics,dual_task,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-032,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,descriptive_model_metrics,dual_task,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-033,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,descriptive_model_metrics,dual_task,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-034,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,descriptive_model_metrics,dual_task,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
STAT-035,09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_model_robustness_comparison.csv,eac62c4983ec352472d8bd2569f923318c98bb0e439a6ab10a88155ae47181bb,descriptive_model_metrics,dual_task,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,NOT_APPLICABLE_DESCRIPTIVE,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,DESCRIPTIVE_MODEL_METRICS,final_statistics_bundle/descriptive_model_metrics,True,,FROZEN_READ_ONLY_VERIFIED
