figure_id,source_phase,scientific_question,source_path,format,source_sha256,caption_draft,paper_section,frozen_status
PF-011,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_seed_stability.pdf,pdf,3c9dbd52cf5aa348d984fc585451d58eeacab80678e8d2e2501b82a420150d5d,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-012,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_seed_stability.png,png,a9147777d7cd4bd6d8f0e7c3636f74e70a2c8a381661049a2791e46839214b7b,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-013,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_vs_traditional_baselines.pdf,pdf,4540689951272133107ba5d28a114c01f437dada9224839dd7f1154541c8ed97,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-014,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_vs_traditional_baselines.png,png,321bf661cbf8342cd2ed85080d9fb54fa2afa3cf83bfa895089ca3af1c15dd1d,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-015,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_regression_seed_stability.pdf,pdf,0df79f8583be165e709f0bcbcaf4077f557b1d85279f8725d737acd118b29f5a,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-016,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_regression_seed_stability.png,png,1be82bd90bf36b4f2b0afe60386e4cbb6dfc0fa969ecc49cb1a2f4482ecdafd2,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-017,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_regression_vs_traditional_baselines.pdf,pdf,59e0ea6dd24e8f139bb779151d868c25ff4b71b7be03df30356a13f534a280d7,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-018,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_regression_vs_traditional_baselines.png,png,660086f32473cdaee5d26c5c7fbfdb01a5375d4b37a95f6cfb02b0d2ad85a7b0,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-019,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_ridge_regression_mae_vs_dimension.pdf,pdf,dc9bb8fa2e28f3289180c450d31c6bff7c9ebea4a5a5181eed80e817dd54f953,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-020,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_ridge_regression_mae_vs_dimension.png,png,95a9fb394ec2a8312eb065cf699d7e5b6c991961beeff6cf438fa00a502d1ffa,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-021,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_similarity_regression_mae_vs_dimension.pdf,pdf,5aaecde08d1246e969f12b5b3be53653c10550f0f25eb81c813f9d0b6502e3b7,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-022,05,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_similarity_regression_mae_vs_dimension.png,png,554edb3ad90715d605211d6fbefbee1f3a2900577430f52b881e4b165b8a2b21,Frozen Phase 05 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-023,06,Classification performance,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_classification_macro_f1_by_variant_dimension.png,png,9501ee61c8523d570abc6f408f3fa3cdfaba13fb8f21a9ad909d5da8d6afd039,Frozen Phase 06 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-024,06,Classification performance,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_classification_seed_stability.png,png,a47458c39c283c473e2860c552e918484250e5c8a852d4230e758b74f05ae7f5,Frozen Phase 06 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-025,06,Performance-efficiency trade-off,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_performance_time_pareto.png,png,db8e215153eb63555579fd251b30dbbc464c789fb430a05ad3fc002e847237bf,Frozen Phase 06 artifact for performance-efficiency trade-off; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-026,06,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_regression_head_comparison.png,png,2df9ab6514845bef3c9f44c3094bdc96c04fe25d4420510dd88be8fd0c2726c4,Frozen Phase 06 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-027,06,Bounded proxy regression,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_similarity_regression_mae_by_variant_dimension.png,png,068191bdb2651d74e12b8355dce21df8a2e14aca91517837972f3b1eac65bc17,Frozen Phase 06 artifact for bounded proxy regression; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-028,07,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_confusion_matrix_panel.pdf,pdf,da7eba74133a754e26eb6276319182f92f92968a65e283ee5dc756228816fc50,Frozen Phase 07 artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-029,07,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_confusion_matrix_panel.png,png,9fd11943732de54e08d96d12f6d69583af67d08db739d8ec1a84105eacc8874d,Frozen Phase 07 artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-030,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_modality_ranking.pdf,pdf,bc86b61e1506473db9d429766da8bb54cdc95302f8e6bda6c61f64614cc780f0,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-031,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_modality_ranking.png,png,547a6532ee22a0d9c53d02bb0a880ac21110e0bb472e17f53b36735c62ba778e,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-032,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_regression_modality_ranking.pdf,pdf,e123947f284b3644da53a07453a8623754c2e7deb1264e6ca573925b515b2936,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-033,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_regression_modality_ranking.png,png,2ff3a01ba221ad6695ae77b38111a3264c1002f55f66da615a414521d448187a,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-034,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_regression_residual_panel.pdf,pdf,e3d7d0cdede44924e8e9e6d707f4951cf127442054fc79519d0420ea69817ed9,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-035,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_regression_residual_panel.png,png,e5cee2ca264f6c90c37fdf55857700eb05013d575a220384498b00432b0a9a18,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-036,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_subject_level_performance.pdf,pdf,6464dc45440b6c480584b42c10ce9aadf58403aca3bb44fb359b994ebd4fc7d3,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-037,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_subject_level_performance.png,png,60e097dc25919f2a5fdff801ded2e0077473e856a30be6377614d2f189dc30c0,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-038,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_unimodal_vs_multimodal_deltas.pdf,pdf,1c6f2e4c0d4e66bba476434c840599cbe597d856114da4f111bd1e6575fd1335,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-039,07,Modality contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_unimodal_vs_multimodal_deltas.png,png,8b384ad5c7b093bf804fbe80dd66e0aa292c151ca0000e2b289e47b154f83e59,Frozen Phase 07 artifact for modality contribution; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-040,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_classification_condition_comparison.pdf,pdf,057896d72716474c9cd9fe0fdf3ca0b77d7839f6c5d9be577c0c39ccca088c4f,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-041,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_classification_condition_comparison.png,png,3e9358da4720fb2d58e4e29b60b027defcf459ccd953e2a31aca2c692b7a03e3,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-042,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_fusion_increment_effects.pdf,pdf,a5d868294fa15aa31eff0860597d2237cd8f8edad8707575bd35b6d8ccd9f290,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-043,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_fusion_increment_effects.png,png,9c3d05087307e934f9a1996ccf02db39e906983dafc88680eaee9af36be43253,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-044,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_regression_condition_comparison.pdf,pdf,29493ebae653dcea926277b4e49c9e30be32375fd6118390c44a8c4faaf2f7f5,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-045,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_regression_condition_comparison.png,png,27879d4e589c57a11ba00da2be9edddc3ca317d935ffce6d8b9c4f9a4d45dcf5,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-046,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_shortcut_sensitivity.pdf,pdf,e67aa7a0358b07406bcc5a2cecca0b5609fed5db7f0c2368d2e4c17bd10ae634,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-047,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_shortcut_sensitivity.png,png,0e6fead89fb8d96b53cd4b9b0fac3701690fbc9bff887efdd6ec60757724cbfa,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-048,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_subject_level_effects.pdf,pdf,0fdb7ea15bacf21c3b4bee6e42dcaa707f5d7c196d6fc3aee099e740b753aa33,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-049,08,Performance-shortcut sensitivity,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_subject_level_effects.png,png,e6d91faefdea18eb81b3b9182bc196bed4bcfccb9c037b67e42f6554d9d89a46,Frozen Phase 08 artifact for performance-shortcut sensitivity; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-050,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_stability_distribution.pdf,pdf,6d560e51ed36289626120ce6eb02269d0176907633bb88fe191146ef762150a9,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-051,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_stability_distribution.png,png,33b3448edc27f521be2b266ed19d3e3c504953f938da91a7d70004417885ead2,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-052,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_subject_classification.pdf,pdf,6da312f26b1c9daddd5b47bf8400cc1caa529ba3f121626989e67c1345eda57d,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-053,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_subject_classification.png,png,7a16ae4eb2b83141cf891da3be43bf797245614c4650b192f0c9cb7307bb16bc,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-054,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_subject_regression.pdf,pdf,fc67e87fff40a49b3436ab8f51007cb8ba77869c685875b072b7412210555f46,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-055,09,Held-out-subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_subject_regression.png,png,1f63c5a7650f2bc06e72970f10f7b6959234cec89e75297270c5e468442a8f49,Frozen Phase 09 artifact for held-out-subject stability; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-056,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_classification_curve.pdf,pdf,f6c7d81ab1ae967c29f6da8f7d9405b68ba0d07daadfbe24cf253ce3cab18637,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-057,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_classification_curve.png,png,cab7d8af3ea952dab96ae9d073fdde164673fc14e068a31b7e149b4a2f2584c6,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-058,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_model_comparison.pdf,pdf,46262e1ad26765a739eb8ec1583c022c266c1acc13bdccf86370d4cecf35b767,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-059,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_model_comparison.png,png,1a586b373f243d094109a2231c073c83f4b0769a261a7774045845b03ea4c8df,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-060,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_regression_curve.pdf,pdf,8da13315ab899d560740eeb58588ffd32f34abb29808ca4aa1c55ebeeaa9175b,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-061,09,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_regression_curve.png,png,625d0ca1c29a13974e59c6c876294a1c4d6b316e1a48000ecb75ff65633f03f9,Frozen Phase 09 artifact for missing-modality robustness; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
