artifact_id,artifact_type,title,source_paths,source_hashes,status
T11,TABLE,35-subject LOSO stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_subject_stability.csv;E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_loso_subject_metrics.csv,488ff4a9f5fed9de10d33230887e777af60ab8eb58e0d6a2837503a56822fe59;a0eb97bb55f037fd7cc32050f00419c4f05e0686fd661a74b8bc41efec52a3c4,AUTHORIZED_NOT_EXECUTED
T12,TABLE,Primary statistical tests and effect sizes,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_wilcoxon_holm_tests.csv;E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_effect_sizes.csv;E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_pairwise_statistics.csv;E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_friedman_tests.csv,2b0bca9c0052b0c6b850adf0d221d0079f322400d044345b58ae1d7497619f1a;006e1060181389b5ce90ac6b2132fb694ca7295acb84b38c6047efe6b985f845;77200f498f10440c210be478bb700d52248f16c9633035fe8c7dd677224a51a0;3519923ba9863a9d40f173ca5498d22ee736af569eac08db8f2de01f246b52f4,AUTHORIZED_NOT_EXECUTED
T13,TABLE,RQ-evidence-conclusion summary,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\rq_evidence_conclusion_matrix\phase10_rq_evidence_conclusion_draft.csv,4901192f286a5ff382e2421440669dd5a2973ee473c15dde6e604f97a2893d70,AUTHORIZED_NOT_EXECUTED
T14,TABLE,Generalization scope and limitations,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\reports\phase09_generalization_boundaries.md;E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_generalization_evidence_limits.csv,5ebff7e1100c554ce390d5665e4a6cafea661c4b0ab693c0f5079039a98e24a9;075c4b6deeba77f102eb25920ef8407611f7da844c8347f52b7acada3a4a123b,AUTHORIZED_NOT_EXECUTED
F01,FIGURE,Project dual-task experimental workflow,E:\hdc-vr-pilot\最新完整实验计划_分类回归双任务.md,1fde8fca7cb413bc49e5ab694eda12e5a3bdf6a960fb0114e6eafe4ced18559c,NEW_DIAGRAM_REQUIRED_NOT_EXECUTED
F02,FIGURE,Traditional classification comparison,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\classification_baseline_comparison.pdf,02cb8af4f6599d8d9882a20b006523038b11e36fd644d2ca526bab2028b57d85,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F03,FIGURE,Traditional regression comparison,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_regression_vs_traditional_baselines.pdf,59e0ea6dd24e8f139bb779151d868c25ff4b71b7be03df30356a13f534a280d7,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F04,FIGURE,HDC variant comparison,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_classification_macro_f1_by_variant_dimension.png;E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_regression_head_comparison.png,9501ee61c8523d570abc6f408f3fa3cdfaba13fb8f21a9ad909d5da8d6afd039;2df9ab6514845bef3c9f44c3094bdc96c04fe25d4420510dd88be8fd0c2726c4,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F05,FIGURE,Best HDC classification confusion matrix,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_confusion_matrix_panel.pdf;E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\best_traditional_classifier_confusion_matrix.pdf,da7eba74133a754e26eb6276319182f92f92968a65e283ee5dc756228816fc50;f6e8a02b03a82cef76f8e869f81e8d2677540fa955b3fcb9501d10ee3b8f4e26,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F06,FIGURE,Best HDC regression prediction or residual plot,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_regression_residual_panel.pdf,e3d7d0cdede44924e8e9e6d707f4951cf127442054fc79519d0420ea69817ed9,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F07,FIGURE,Unimodal contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_unimodal_vs_multimodal_deltas.pdf;E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_classification_modality_ranking.pdf,1c6f2e4c0d4e66bba476434c840599cbe597d856114da4f111bd1e6575fd1335;bc86b61e1506473db9d429766da8bb54cdc95302f8e6bda6c61f64614cc780f0,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F08,FIGURE,Fusion gain,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_fusion_increment_effects.pdf,a5d868294fa15aa31eff0860597d2237cd8f8edad8707575bd35b6d8ccd9f290,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F09,FIGURE,Shortcut analysis,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_shortcut_sensitivity.pdf,e67aa7a0358b07406bcc5a2cecca0b5609fed5db7f0c2368d2e4c17bd10ae634,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F10,FIGURE,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_model_comparison.pdf;E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_missing_modality_classification_curve.pdf,46262e1ad26765a739eb8ec1583c022c266c1acc13bdccf86370d4cecf35b767;f6c7d81ab1ae967c29f6da8f7d9405b68ba0d07daadfbe24cf253ce3cab18637,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F11,FIGURE,LOSO subject stability,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_stability_distribution.pdf;E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\figures\phase09_loso_subject_classification.pdf,6d560e51ed36289626120ce6eb02269d0176907633bb88fe191146ef762150a9;6da312f26b1c9daddd5b47bf8400cc1caa529ba3f121626989e67c1345eda57d,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
F12,FIGURE,Performance-time-memory Pareto,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\figures\phase06_performance_time_pareto.png;E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_accuracy_efficiency_tradeoff.pdf,db8e215153eb63555579fd251b30dbbc464c789fb430a05ad3fc002e847237bf;6c0c66c6c169aed3d15051b7b9cacd720676b95b6cfbd07be57a7acc9946b2e7,SOURCE_PAIR_SELECTED
F13,FIGURE,Primary subject-level effects or confidence intervals,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\figures\phase08_subject_level_effects.pdf;E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\figures\phase07_subject_level_performance.pdf,0fdb7ea15bacf21c3b4bee6e42dcaa707f5d7c196d6fc3aee099e740b753aa33;6464dc45440b6c480584b42c10ce9aadf58403aca3bb44fb359b994ebd4fc7d3,UNIFIED_REDRAW_REQUIRED_NOT_EXECUTED
